Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1",0402,4,100n,C387941
"D1_4, D1_3, D1_2, D1",0603,4,LED,C2837379
"PROT1_4, PROT1_3, PROT1_2, PROT1",SOT-23-6,4,USBLC6-4SC6,C111212
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2",0603,8,10k,C116677
"R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4",0603,8,4k7,C3016318
"R5_4, R5_3, R5_2, R5",0603,4,1k,C3016283
"SENS1_4, SENS1_3, SENS1_2, SENS1",DRV0006B2,4,TMP117AIDRVR,C699536
